"value","cumul_area","fires","prop","year"
7240.64,2666297.92,1,0.356453837931293,"2019-2020"
7453.6,2673751.52,1,0.357450299844448,"2019-2020"
7492.32,2681243.84,1,0.358451938183126,"2019-2020"
7511.68,2688755.52,1,0.359456164734566,"2019-2020"
7531.04,2696286.56,1,0.360462979498767,"2019-2020"
7569.76,2711426.08,2,0.362486961878214,"2019-2020"
7627.84,2719053.92,1,0.363506717706222,"2019-2020"
7879.52,2726933.44,1,0.364560120300129,"2019-2020"
7976.32,2734909.76,1,0.365626463957843,"2019-2020"
8034.4,2742944.16,1,0.366700572253842,"2019-2020"
8537.76,2751481.92,1,0.367841974081637,"2019-2020"
8615.2,2760097.12,1,0.368993728760479,"2019-2020"
8886.24,2768983.36,1,0.370181718417981,"2019-2020"
9041.12,2778024.48,1,0.371390413777574,"2019-2020"
9060.48,2787084.96,1,0.372601697349929,"2019-2020"
9176.64,2796261.6,1,0.373828510198852,"2019-2020"
9505.76,2805767.36,1,0.37509932266472,"2019-2020"
10086.56,2815853.92,1,0.376447781513432,"2019-2020"
10183.36,2836220.64,2,0.379170581338468,"2019-2020"
10783.52,2847004.16,1,0.380612215846591,"2019-2020"
11209.44,2858213.6,1,0.382110791035466,"2019-2020"
11480.48,2869694.08,1,0.383645601203001,"2019-2020"
12061.28,2881755.36,1,0.38525805775338,"2019-2020"
12100,2893855.36,1,0.386875690729281,"2019-2020"
12390.4,2918636.16,2,0.390188603063926,"2019-2020"
12448.48,2931084.64,1,0.391852823869533,"2019-2020"
12545.28,2943629.92,1,0.393529985738948,"2019-2020"
12738.88,2956368.8,1,0.395233029735976,"2019-2020"
13377.76,2969746.56,1,0.397021484754133,"2019-2020"
13474.56,2983221.12,1,0.398822880836096,"2019-2020"
13629.44,2996850.56,1,0.400644982620151,"2019-2020"
13648.8,3010499.36,1,0.402469672616968,"2019-2020"
14171.52,3024670.88,1,0.404364244358343,"2019-2020"
14268.32,3038939.2,1,0.406271757163526,"2019-2020"
14423.2,3053362.4,1,0.4081999756708,"2019-2020"
14616.8,3067979.2,1,0.410154076305689,"2019-2020"
14694.24,3082673.44,1,0.412118529791623,"2019-2020"
15778.4,3098451.84,1,0.414227923192198,"2019-2020"
16301.12,3114752.96,1,0.416407198337332,"2019-2020"
17346.56,3132099.52,1,0.418726236971584,"2019-2020"
17482.08,3149581.6,1,0.421063393095166,"2019-2020"
17966.08,3167547.68,1,0.423465254537784,"2019-2020"
18082.24,3185629.92,1,0.425882645256971,"2019-2020"
18237.12,3203867.04,1,0.428320741678249,"2019-2020"
18314.56,3222181.6,1,0.430769190950573,"2019-2020"
18604.96,3240786.56,1,0.433256463414319,"2019-2020"
18817.92,3259604.48,1,0.43577220621844,"2019-2020"
18895.36,3278499.84,1,0.438298301873607,"2019-2020"
19669.76,3298169.6,1,0.440927926039232,"2019-2020"
19824.64,3317994.24,1,0.443578255906949,"2019-2020"
19844,3337838.24,1,0.446231173987426,"2019-2020"
20347.36,3358185.6,1,0.448951385599702,"2019-2020"
20366.72,3378552.32,1,0.451674185424739,"2019-2020"
20889.44,3399441.76,1,0.454466866994334,"2019-2020"
21760.64,3421202.4,1,0.457376018138195,"2019-2020"
23077.12,3444279.52,1,0.460461167749834,"2019-2020"
23987.04,3468266.56,1,0.46366796336126,"2019-2020"
24064.48,3492331.04,1,0.466885111823732,"2019-2020"
24200,3516531.04,1,0.470120377775535,"2019-2020"
